"movie","chapter","character","dialog"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yeah, could be."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","I beg a few moments of your attention, as I have a few start of term announcements. Right off, our caretaker, the good Mr. Filch, has reminded me for what he says is the four-hundred and sixty-second time that he had an annually updated list of various banned items, usually introduced by our humour experts Fred and George Weasley..."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","...-which are posted in an extensive list on the door to Mr. Filch's door."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Also, we have two staffing changes this year. Professor Grubby-Plank will be taking the post of Care of Magical Creatures post as Professor Hagrid is on...extended leave."
"Harry Potter and the Order of the Phoenix","","Albus Dumbledore","Additionally, we have Professor Umbridge, who has kindly agreed to fill the post of Defense Against the Dark Arts-—"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Hem, hem, Headmaster, if I could address the school?"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Thank you, Headmaster. Now, how are we all doing tonight? I thought I would just say a few words. I am here at the Ministry of Magic's bequest, under Educational Decree twenty-two, which states that if the Headmaster of Hogwarts is unable to fill any teaching post the Ministry shall select one for the position."
"Harry Potter and the Order of the Phoenix","","Dean Thomas","So why didn't your mum want you to come back to Hogwarts, Seamus?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","What?"
"Harry Potter and the Order of the Phoenix","","Seamus Finnigan","Me mam didn't want me to come back to Hogwarts..."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Why?"
"Harry Potter and the Order of the Phoenix","","Seamus Finnigan","Well...because of you..."
"Harry Potter and the Order of the Phoenix","","Harry Potter","What did I do?"
"Harry Potter and the Order of the Phoenix","","Seamus Finnigan","She...well, she figure's you're, well...you're lying about You-Know- Who and Dumbledore's a right nutter..."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Where'd she get that from?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","No one believes me, Hedwig. No one..."
"Harry Potter and the Order of the Phoenix","","Harry Potter","I'm alone..."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Sorry, Professor..."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Hmm, let's see, five points from Gryffindor for coming in late."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Now, as I was saying before Mr. Potter interrupted with his antics, your Defense Against the Dark Arts education has been rather fragmented and disjointed in your past classes, hasn't it?"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","I will be following a pre-approved Ministry-prepared, theory-centered Defense lesson plan."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Copy this down."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Yes?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","I wanted to know something about your course aims."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Well, they should be perfectly self- evident."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","But surely the whole point of Defense against the dark arts is practical application?"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Miss Granger, this class has been approved by Ministry experts. Are you a Ministry Expert?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","No, but-"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Then you have no business challenging those who are. We will be learning about spells in a safe, risk-free environment-"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","But we've got O.W.L.s coming up! You expect us to do the spells with no practice?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","What good's theory in the real world?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","What about Lord Voldemort?"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Ten points from Gryffindor, Mr. Potter. Let me set the record straight."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Some of you have been told that a certain dead wizard has returned. This is a lie."
"Harry Potter and the Order of the Phoenix","","Harry Potter","It-is-NOT-a-LIE!"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Mr. Potter, you have just landed yourself in detention!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","So, according to you, Cedric Diggory dropped dead? Or are you calling me a murderer?"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","The boy's death was a tragic accident."
"Harry Potter and the Order of the Phoenix","","Harry Potter","It was MURDER! I saw it happen!"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Mr Potter, you have earned yourself a week's worth of detentions!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yeah, talk to somebody who cares."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","That goes to Professor McGonagall, dear."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yeah. But she called me a liar!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yes, Professor."
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","Good. Off you go."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","How can Dumbledore let that horrible woman teach? And when we're taking our OWL tests too!"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","You reckon she's here to spy on us?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Well, not us specifically, but definitely Dumbledore and the Order."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Oh! Sorry..."
"Harry Potter and the Order of the Phoenix","","Angelina Johnson","Yeah, well, you're going to have to get out of it somehow. We're holding tryouts for Keeper now Wood's gone, and I wanted to have the whole team there."
"Harry Potter and the Order of the Phoenix","","Harry Potter","I'll never get out of it, Angelina."
"Harry Potter and the Order of the Phoenix","","Angelina Johnson","Well, just...don't do it again!"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Well, Harry, shall we start on Snape's report?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Later, I've got detention."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Good luck, Harry."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Thanks."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Ah, Potter. Sit down."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","You're going to be doing lines, tonight, Mr. Potter, and you'll be using this quill."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","You will write ""I will not tell lies"" until I tell you to stop. Understand?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","There's no ink."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Oh...you won't need ink."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Problem, Potter?"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","That's enough for this evening. Same time, tomorrow, and we'll see if we can get the message to sink in a bit deeper."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Hey, Harry."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Have you seen Ron? I can't find him anywhere."
"Harry Potter and the Order of the Phoenix","","Harry Potter","No, I haven't."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","He's been acting fishy all week. He's up to something."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","That's enough for tonight, Potter. Let's see that hand."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Harry! I tried out for Quidditch Keeper at the tryouts! I'm on the team!"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Harry--bloody hell!"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","He's got to be taken to the hospital wing."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","You said she was making you do lines!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","She is. But the quill has some sort of spell on it. It uses blood for ink."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","That old hag! She's sick!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","No, I'm telling anyone."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Harry, I really think you should tell--"
"Harry Potter and the Order of the Phoenix","","Harry Potter","No!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","I don't need his help. I don't need anyone's help."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Hagrid's still not back yet. I hope he's all right."
"Harry Potter and the Order of the Phoenix","","Harry Potter","I've asked Sirius about it."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Harry, you can't write to him! Owls are being intercepted, it isn't safe."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Don't worry, Hermione, I wrote it in code. Anyway, I figured I need to tell someone about Umbridge. My scar hurt again last night in detention."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Always knew she was a bit fishy."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","You think she's working for You- Know-Who?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Well, it's a possibility, isn't it?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","I suppose so. He could have her under the Imperious Curse, though it's unlikely. Dumbledore'd know."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yeah, but Dumbledore didn't have a choice, did he? She'd been sent here by the Ministry."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Anything about Harry?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","No, nothing."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Sturgis Podmore?"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Wait, he's one of the Order!"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Quiet!"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Do you s'pose it was a frameup?"
"Harry Potter and the Order of the Phoenix","","Dean Thomas","Come on, we'll be late for Charms"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Right."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Hedwig!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Hi."
"Harry Potter and the Order of the Phoenix","","Cho Chang","Oh...hi. Didn't think anyone else would be up here."
"Harry Potter and the Order of the Phoenix","","Cho Chang","Have you found a new Keeper for Quiddich?"
"Harry Potter and the Order of the Phoenix","","Cho Chang","He any good?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Well, he made the team. I missed the tryouts."
"Harry Potter and the Order of the Phoenix","","Cho Chang","Yeah, Umbridge. You were really brave, standing up to her."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yeah...well, it was the truth."
"Harry Potter and the Order of the Phoenix","","Argus Filch","Right, Potter. I'll have what you're sending."
"Harry Potter and the Order of the Phoenix","","Harry Potter","What?"
"Harry Potter and the Order of the Phoenix","","Argus Filch","I have had a tip-off that you are ordering a large quantity of Dungbombs! Now hand it over."
"Harry Potter and the Order of the Phoenix","","Harry Potter","You're too late, it's gone."
"Harry Potter and the Order of the Phoenix","","Cho Chang","Yeah, I saw him send it."
"Harry Potter and the Order of the Phoenix","","Argus Filch","I get a single whiff of a Dungbomb in this castle, Potter...and you're mine."
"Harry Potter and the Order of the Phoenix","","Cho Chang","Um, you weren't ordering dungbombs, were you?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","No."
"Harry Potter and the Order of the Phoenix","","Cho Chang","I wonder why he'd think you were."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","You, ordering dungbombs. I mean, really."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Unless whoever tipped Filch off was interested in reading your mail, Harry. I mean, doesn't it seem a little too coincidental that Filch was tipped off when you happened to be sending a message to Sirius?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yeah, that does seem weird. You figure its Umbridge?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","I don't know."
"Harry Potter and the Order of the Phoenix","","Draco Malfoy","Hey, Weasley! Nice job out on the field today! You'll be our best player on the pitch!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Get bent, Malfoy!"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","No, he's right. I'm useless out there. Complete rubbish."
"Harry Potter and the Order of the Phoenix","","Harry Potter","It's your first practice. Don't worry about it."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","I'm gonna make a fool of myself out there."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Are you all right, Harry?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yeah. Its just...the pain's getting stronger."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","I don't know how we're ever going to pass our O.W.L.s in Defense against the dark arts without any practice! That Umbridge woman is"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","We've got to do something about"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Yeah, well, poison should do the trick."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yeah, that's true."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Anyway, I thought we should do it ourselves."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Do what?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Defense Against the Dark Arts. We'd teach ourselves."
"Harry Potter and the Order of the Phoenix","","Harry Potter","I don't know..."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Hermes?"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","It's from Percy!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Read it."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","You can imagine my relief that this is not the case."""
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Keep reading."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Well, if you want to, ah, ""break ties"" with me, I swear I won't get violent."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","He is the world's biggest git!"
"Harry Potter and the Order of the Phoenix","","Sirius Black","Watch it! Ron jumps,"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Sirius?"
"Harry Potter and the Order of the Phoenix","","Sirius Black","Right you are. Got you letter and though we should talk in person."
"Harry Potter and the Order of the Phoenix","","Sirius Black","What was that?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Letter from Percy."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Yeah, full of the usual rubbish."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Except he did mention that Dumbledore might not be in charge here much longer."
"Harry Potter and the Order of the Phoenix","","Sirius Black","It doesn't surprise me. Fudge wants Dumbledore out."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Why?"
"Harry Potter and the Order of the Phoenix","","Sirius Black","He's worried Dumbledore is trying to turn the students against the Ministry."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Well, that would explain why Umbridge isn't teaching us anything useful in Defense Against the Dark Arts."
"Harry Potter and the Order of the Phoenix","","Sirius Black","Exactly. The Ministry doesn't want you trained in combat."
"Harry Potter and the Order of the Phoenix","","Harry Potter","What does he think Dumbledore is going to do, raise an army?"
"Harry Potter and the Order of the Phoenix","","Sirius Black","That's exactly what he's worried about. Fudge is getting more paranoid about Dumbledore every day."
"Harry Potter and the Order of the Phoenix","","Harry Potter","What do you know about Umbridge?"
"Harry Potter and the Order of the Phoenix","","Sirius Black","She's a nasty piece of work. Apparently she hates part—humans."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Could she be a Death Eater?"
"Harry Potter and the Order of the Phoenix","","Sirius Black","The Order seriously doubts it. She's no picnic, but she's no Death Eater either."
"Harry Potter and the Order of the Phoenix","","Harry Potter","But she's evil."
"Harry Potter and the Order of the Phoenix","","Sirius Black","The world isn't split into the Order and the Death Eaters, Harry."
"Harry Potter and the Order of the Phoenix","","Sirius Black","As to your question about Hagrid, well, no one is really sure what happened to him, actually. He was supposed to be back a while ago."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","What?"
"Harry Potter and the Order of the Phoenix","","Sirius Black","Dumbledore's not worried about hin, though. Hagrid's tough. He'll be all right."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","But if he was supposed to be back by now..."
"Harry Potter and the Order of the Phoenix","","Sirius Black","Look, asking questions about him will only make it more obvious that he's not back."
"Harry Potter and the Order of the Phoenix","","Sirius Black","Get out of here!"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","I cannot believe it!"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","What's that mean?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","It says here that the High Inquisitor has the power to inspect all of the teachers."
"Harry Potter and the Order of the Phoenix","","Harry Potter","You're kidding!"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","That's not all. The High Inquisitor also has the power to sack teachers as well."
"Harry Potter and the Order of the Phoenix","","Fred Weasley","So, seen the news have you?"
"Harry Potter and the Order of the Phoenix","","George Weasley","Personally, I envy you three."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Why's that?"
"Harry Potter and the Order of the Phoenix","","George Weasley","Umbridge is inspecting McGonagall in your period. That old toad won't know what hit her."
"Harry Potter and the Order of the Phoenix","","George Weasley","Oh, to be a youth again, to experience the innocent glee of watching Umbridge be destroyed by the greatest Head of Gryffindor this century."
"Harry Potter and the Order of the Phoenix","","Fred Weasley","Well, we'll expect a full report after."
"Harry Potter and the Order of the Phoenix","","George Weasley","Complete with facial expressions."
"Harry Potter and the Order of the Phoenix","","Sybill Trelawney","Greetings my children. I sense even now that many of you have already made the transition into the beyond!"
"Harry Potter and the Order of the Phoenix","","Sybill Trelawney","Today we will be continuing our interpretation of prophetic dreams. Please divide into your groups and discuss your recent night time visions using the text as a guide."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","And how long have you been at this post?"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","I understand you are the descendent of the famous Seer Cassandra Trelawney?"
"Harry Potter and the Order of the Phoenix","","Sybill Trelawney","I am."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","And you are the first since Cassandra to have the Second Sight?"
"Harry Potter and the Order of the Phoenix","","Sybill Trelawney","These things tend to skip...several...generations."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Of course."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Now, if you would kindly make a prediction for me?"
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","The Inner Eye does not See upon command!"
"Harry Potter and the Order of the Phoenix","","Sybill Trelawney","My dear boy, your dream diary, if you please!"
"Harry Potter and the Order of the Phoenix","","Sybill Trelawney","My dear boy! My poor boy! These dreams are evil portends!"
"Harry Potter and the Order of the Phoenix","","Sybill Trelawney","Yes, yes, oatmeal! Are you telling me you cannot see the signs? The foretelling of suffering and death?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Er..."
"Harry Potter and the Order of the Phoenix","","Sybill Trelawney","Perhaps you are not as in the beyond as the others."
"Harry Potter and the Order of the Phoenix","","Dolores Umbridge","Well, if that's the best you can do, Professor, I will be going."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Where are we going, Hermione?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","There we are."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","""The Hog's Head,"" Hermione?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Come on, I'll explain in a minute."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Hermione, what's going on?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","These are some people I mentioned my Defense Against the Dark Arts idea with."
"Harry Potter and the Order of the Phoenix","","Harry Potter","You mean about us teaching ourselves?"
"Harry Potter and the Order of the Phoenix","","Neville Longbottom","Hey, Harry."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Hey, Neville."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Uh...same to you, Luna."
"Harry Potter and the Order of the Phoenix","","Fred Weasley","Hear, hear!"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Obviously, this will help us pass our O.W.L.s, but more importantly, it gives us the ability to protect ourselves from...Lord Voldemort. Several people jump or wince in fear at the name."
"Harry Potter and the Order of the Phoenix","","Harry Potter","That's the first time you've said his name."
"Harry Potter and the Order of the Phoenix","","Zacharias Smith","How do we know You-Know-Who's really back?"
"Harry Potter and the Order of the Phoenix","","George Weasley","Dumbledore believes he is."
"Harry Potter and the Order of the Phoenix","","Justin Finch-Fletchley","You mean Dumbledore believes him."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","That's true, but I think we're drifting from the purpose--"
"Harry Potter and the Order of the Phoenix","","Harry Potter","It's okay, Hermione."
"Harry Potter and the Order of the Phoenix","","Harry Potter","I believe Voldemort's back because I fought him last year. Dumbledore's already told the school that. If you didn't believe him you won't believe anyone."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Well...anyway...uh, I think that in order to learn properly we'll need a teacher."
"Harry Potter and the Order of the Phoenix","","Neville Longbottom","But we're all students. None of us has the experience to--"
"Harry Potter and the Order of the Phoenix","","Ginny Weasley","Someone here does. Everyone looks at her. She is staring directly at Harry."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Me?"
"Harry Potter and the Order of the Phoenix","","Michael Corner","I for one would like to know why Potter's qualified and the rest of us aren't."
"Harry Potter and the Order of the Phoenix","","Susan Bones","One of the portraits said you'd killed a Basilisk in the Chamber of Secrets with that sword in Dumbledore's office."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Uh...well, yeah, I did."
"Harry Potter and the Order of the Phoenix","","Lee Jordan","Blimey, Harry..."
"Harry Potter and the Order of the Phoenix","","Lavander Brown","Wow..."
"Harry Potter and the Order of the Phoenix","","Fred Weasley","Can't forget that he saved the Sorcerer's Stone from You-Know-Who in his first year."
"Harry Potter and the Order of the Phoenix","","Cho Chang","And last year he got through the Triwizard Tournament!"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Not to mention you dueled with You- Know-Who all alone and he still couldn't kill you!"
"Harry Potter and the Order of the Phoenix","","Ginny Weasley","And you fought off those dementors that attacked you this summer."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","So all in favor of taking lessons from Harry?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Where are we going to meet?"
"Harry Potter and the Order of the Phoenix","","Neville Longbottom","What about an unused classroom?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","That might work. I'll look into that."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Ok, good."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","I think we should put our names down, so we know who was here."
"Harry Potter and the Order of the Phoenix","","Ernest Macmillan","I don't know...if it were found...I mean, Umbridge wouldn't like what we're doing..."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Honestly, Ernie, do you think I'd just leave it lying around? Besides, its enchanted."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Also, what should we call ourselves?"
"Harry Potter and the Order of the Phoenix","","Angelina Johnson","What about the Anti-Unbridhe League?"
"Harry Potter and the Order of the Phoenix","","Ginny Weasley","I think it should be Dumbledore's Army. There is excited agreement. Harry smiles at her."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","We'll let you know when we're going"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","I think that went well."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yeah."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","And did you see Cho, Harry?"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Well, she couldn't keep her eyes off you, could she?!"
"Harry Potter and the Order of the Phoenix","","Angelina Johnson","Harry, you won't believe...that Umbridge woman...this is too much!!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","What's she done now?"
"Harry Potter and the Order of the Phoenix","","Angelina Johnson","Follow me."
"Harry Potter and the Order of the Phoenix","","Harry Potter","""By order of the Hogwarts High Inquisitor: All student organizations, societies, teams, groups, and clubs are henceforth disbanded. Permission to reform must be approved by High Inquisitor Umbridge. No student organization can exist without the knowledge and approval of the High Inquisitor. Any student found to be a part of an illegal organization will be expelled immediately."""
"Harry Potter and the Order of the Phoenix","","Angelina Johnson","She refused to allow us to reform the Gryffindor team. We had to go to Dumbledore to get her to allow it."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Not only that, but what about the"
"Harry Potter and the Order of the Phoenix","","Harry Potter","This isn't a coincidence."
"Harry Potter and the Order of the Phoenix","","Harry Potter","She knows."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","She can't!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Look, we don't know how many people could have overheard our meeting and told her."
"Harry Potter and the Order of the Phoenix","","Ron Weasley","Or somebody at the meeting could have blabbed to her."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","No, they couldn't have. The parchment we all signed was enchanted, like I said. No one can betray the D.A. without us knowing."
"Harry Potter and the Order of the Phoenix","","Harry Potter","What would we do without you, Hermione?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Hedwig!"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","She's hurt!"
"Harry Potter and the Order of the Phoenix","","Ron Weasley","She doesn't look very good."
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Harry, you'd better take her to Professor Grubby-Plank. She'll know what to do."
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","Potter!"
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","Where on earth are you going at this time of night?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","It's Hedwig. I think she's been attacked."
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","What?"
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","Yes, I think you might be right, Potter. She looks at Harry."
"Harry Potter and the Order of the Phoenix","","Harry Potter","London."
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","Well, give her to me. I'll run her"
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","There you are."
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","Bear in mind, Potter, that channels of communication in and out of Hogwarts are being watched, won't you?"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Yes, Professor."
"Harry Potter and the Order of the Phoenix","","Minerva McGonagall","Good. Now, off to bed."
"Harry Potter and the Order of the Phoenix","","Dobby","Mr. Harry Potter!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Dobby! What are you doing here?"
"Harry Potter and the Order of the Phoenix","","Dobby","Dobby is cleaning, sir."
"Harry Potter and the Order of the Phoenix","","Harry Potter","What is it, Dobby."
"Harry Potter and the Order of the Phoenix","","Dobby","Dobby...Dobby wishes he could help Harry Potter. Dobby has heard him muttering in his sleep."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Don't worry about it, Dobby. But I don't think you can help me."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Actually, there is something you can do, Dobby."
"Harry Potter and the Order of the Phoenix","","Harry Potter","I need a room where twenty-eight people can practice Defense Against the Dark Arts without the teachers knowing. Especially Professor Umbridge."
"Harry Potter and the Order of the Phoenix","","Dobby","Dobby knows of the perfect place, Harry Potter! It is the Room of Requirement, sir. You can only use the room in times of great need. Whatever you need will be there for you, Harry Potter."
"Harry Potter and the Order of the Phoenix","","Harry Potter","That's brilliant, Dobby!"
"Harry Potter and the Order of the Phoenix","","Dobby","Dobby can show you now, if you wish, Harry Potter."
"Harry Potter and the Order of the Phoenix","","Harry Potter","Better not, Dobby. School is pretty intense right now. We'll do it ina few months, before the holidays."
"Harry Potter and the Order of the Phoenix","","Lee jordan","...and Slytherin is up forty to ten. Alica with the quaffle!"
"Harry Potter and the Order of the Phoenix","","Students","Weasley is our King, Weasley is our King, He always lets the Quaffle in, Weasley is our King!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Just ignore them, Ron!"
"Harry Potter and the Order of the Phoenix","","Draco Malfoy","I should thank you, Weasley. You're definitely our best player!"
"Harry Potter and the Order of the Phoenix","","Hermione Granger","Harry, are you all right?"
"Harry Potter and the Order of the Phoenix","","Draco Malfoy","Bet you loved that, Potter! Saved Weasley's neck, didn't you?"
"Harry Potter and the Order of the Phoenix","","Draco Malfoy","I've never seen a worse Keeper! Maybe we should add some more verses to our little song. About his filthy mother!"
"Harry Potter and the Order of the Phoenix","","Draco Malfoy","And his pathetic loser of a father too!"
"Harry Potter and the Order of the Phoenix","","Draco Malfoy","But then, you like the Weasleys, don't you? How can you stand the stink? I guess it reminds you of your own dear mother!"
"Harry Potter and the Order of the Phoenix","","Rolanda Hooch","Impedimenta!"
