"movie","chapter","character","dialog"
"Harry Potter and the Order of the Phoenix","","Alastor Moody","Stay in formation!"
"Harry Potter and the Order of the Phoenix","","Alastor Moody","We need more height!"
"Harry Potter and the Order of the Phoenix","","Alastor Moody","Contacts to the south!"
"Harry Potter and the Order of the Phoenix","","Kingsley Shacklebolt","Mad-eye! You, Tonks, and Lupin take Harry! We'll slow them down!"
"Harry Potter and the Order of the Phoenix","","Remus Lupin","There's the other one, Alastor!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Expecto--!"
"Harry Potter and the Order of the Phoenix","","Remus Lupin","Harry, leave it to us!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","No!"
"Harry Potter and the Order of the Phoenix","","Remus Lupin","""Expecto Patronum!'"
"Harry Potter and the Order of the Phoenix","","Remus Lupin","Get Harry to the safe house!"
"Harry Potter and the Order of the Phoenix","","Alastor Moody","Come on, Potter! Keep moving!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","But I can help!"
"Harry Potter and the Order of the Phoenix","","Alastor Moody","Potter, getting yourself killed won't do a thing. Now move!"
"Harry Potter and the Order of the Phoenix","","Alastor Moody","We're not far, now!"
"Harry Potter and the Order of the Phoenix","","Alastor Moody","Did you get rid of them?"
"Harry Potter and the Order of the Phoenix","","Kingsley Shacklebolt","They're gone, Alastor."
"Harry Potter and the Order of the Phoenix","","Nymphadora Tonks","We're there!"
"Harry Potter and the Order of the Phoenix","","Alastor Moody","Prepare for descent! Form up around Harry!"
"Harry Potter and the Order of the Phoenix","","Remus Lupin","Stay here, Harry."
"Harry Potter and the Order of the Phoenix","","Kingsley Shacklebolt","Clear!"
"Harry Potter and the Order of the Phoenix","","Alastor Moody","Right, Harry, this way."
"Harry Potter and the Order of the Phoenix","","Alastor Moody","Here, read this."
"Harry Potter and the Order of the Phoenix","","Alastor Moody","Come on, inside. Hurry."
"Harry Potter and the Order of the Phoenix","","Remus Lupin","Get in, quick, Harry. Don't touch anything."
"Harry Potter and the Order of the Phoenix","","Walburga Black","Filth! Scum! Half-breeds, mutants, freaks, begone from this place! How dare you befoul the house of my fathers?!"
"Harry Potter and the Order of the Phoenix","","Sirius Black","Shut up, you miserable old hag! Quiet!"
"Harry Potter and the Order of the Phoenix","","Walburga Black","Blood traitor, abomination, shame of my flesh!"
"Harry Potter and the Order of the Phoenix","","Harry Potter","Was that your--?"
"Harry Potter and the Order of the Phoenix","","Sirius Black","Mother, yes. Dear old mum."
